0.000000 -4.000000
0.039200 -4.010772
0.078400 -4.021513
0.117600 -4.032192
0.156800 -4.042779
0.196000 -4.053244
0.235200 -4.063554
0.274400 -4.073681
0.313600 -4.083592
0.352800 -4.093257
0.392000 -4.102646
0.431200 -4.111727
0.470400 -4.120471
0.509600 -4.128845
0.548800 -4.136820
0.588000 -4.144365
0.627200 -4.151448
0.666400 -4.158041
0.705600 -4.164110
0.744800 -4.169626
0.784000 -4.174559
0.823200 -4.178877
0.862400 -4.182549
0.901600 -4.185545
0.940800 -4.187835
0.980000 -4.189386
1.019200 -4.190170
1.058400 -4.190154
1.097600 -4.189309
1.136800 -4.187603
1.176000 -4.185006
1.215200 -4.181487
1.254400 -4.177015
1.293600 -4.171560
1.332800 -4.165090
1.372000 -4.157576
1.411200 -4.148986
1.450400 -4.139290
1.489600 -4.128457
1.528800 -4.116455
1.568000 -4.103255
1.607200 -4.088826
1.646400 -4.073137
1.685600 -4.056157
1.724800 -4.037855
1.764000 -4.018201
1.803200 -3.997164
1.842400 -3.974714
1.881600 -3.950819
1.920800 -3.925449
1.960000 -3.898573
